Date,Department,Expense_Category,Expense_Amount
13-05-2024,Finance,Logistics,133401
25-05-2024,Admin,Office Expenses,69880
28-07-2024,Supply Chain,Office Expenses,8776
11-01-2024,Supply Chain,Salaries,6814
21-08-2024,Admin,Salaries,133258
15-07-2024,Finance,Logistics,171909
24-01-2024,Marketing,Salaries,48755
06-03-2024,Admin,Advertising,51849
27-08-2024,Marketing,Salaries,74094
17-10-2024,Marketing,Salaries,78232
13-08-2024,Supply Chain,Advertising,162651
27-12-2024,Finance,Trade Promotion,163602
02-01-2024,Marketing,Trade Promotion,129759
31-08-2024,Admin,Office Expenses,30214
19-05-2024,Finance,Salaries,166042
14-09-2024,Sales,Office Expenses,151337
17-10-2024,Sales,Salaries,65906
14-12-2024,Admin,Advertising,62106
18-12-2024,Sales,Logistics,14063
17-09-2024,Finance,Salaries,1638
28-12-2024,Finance,Office Expenses,13292
25-04-2024,Supply Chain,Office Expenses,162130
16-04-2024,Finance,Salaries,66581
28-02-2024,Marketing,Office Expenses,47510
09-06-2024,Supply Chain,Office Expenses,42864
30-06-2024,Marketing,Advertising,49454
12-04-2024,Finance,Office Expenses,126373
23-07-2024,Supply Chain,Trade Promotion,45198
13-10-2024,Admin,Trade Promotion,6161
19-01-2024,Admin,Logistics,199740
07-10-2024,Admin,Trade Promotion,74405
16-04-2024,Supply Chain,Trade Promotion,92555
09-07-2024,Finance,Advertising,196087
22-02-2024,Finance,Salaries,52746
06-02-2024,Supply Chain,Advertising,117129
24-12-2024,Supply Chain,Office Expenses,177429
12-02-2024,Sales,Trade Promotion,146472
27-06-2024,Sales,Office Expenses,92288
16-02-2024,Supply Chain,Salaries,88654
27-02-2024,Admin,Salaries,83419
21-08-2024,Finance,Logistics,103146
10-05-2024,Admin,Logistics,180123
11-03-2024,Marketing,Advertising,131372
28-11-2024,Marketing,Trade Promotion,162236
11-09-2024,Marketing,Office Expenses,47980
08-11-2024,Admin,Logistics,30201
24-01-2024,Sales,Salaries,63117
11-04-2024,Marketing,Salaries,112803
20-11-2024,Supply Chain,Logistics,181883
30-05-2024,Finance,Salaries,98273
26-12-2024,Sales,Trade Promotion,12983
20-06-2024,Marketing,Trade Promotion,117575
05-11-2024,Finance,Advertising,87540
09-07-2024,Finance,Trade Promotion,152113
02-05-2024,Sales,Logistics,115242
30-09-2024,Admin,Logistics,65413
11-09-2024,Finance,Trade Promotion,32714
16-06-2024,Sales,Logistics,182354
24-03-2024,Marketing,Advertising,64172
21-11-2024,Sales,Advertising,165886
09-08-2024,Admin,Salaries,66586
29-08-2024,Marketing,Advertising,6290
04-05-2024,Admin,Office Expenses,76378
10-03-2024,Finance,Trade Promotion,193138
29-09-2024,Sales,Logistics,166493
29-06-2024,Supply Chain,Logistics,154502
02-05-2024,Admin,Advertising,144307
09-09-2024,Sales,Advertising,139441
25-07-2024,Supply Chain,Advertising,30204
03-11-2024,Supply Chain,Logistics,1801
02-12-2024,Sales,Office Expenses,92636
25-01-2024,Marketing,Logistics,57400
13-02-2024,Supply Chain,Advertising,126944
09-02-2024,Sales,Office Expenses,189764
27-07-2024,Sales,Advertising,87529
13-02-2024,Marketing,Office Expenses,38372
22-04-2024,Sales,Advertising,105217
24-10-2024,Admin,Office Expenses,62771
11-06-2024,Admin,Trade Promotion,150342
18-05-2024,Marketing,Office Expenses,71581
10-10-2024,Finance,Advertising,78215
20-06-2024,Sales,Salaries,4558
20-01-2024,Admin,Advertising,165067
07-05-2024,Admin,Salaries,94036
14-04-2024,Sales,Logistics,13276
02-02-2024,Sales,Office Expenses,15306
12-06-2024,Supply Chain,Office Expenses,163405
21-06-2024,Marketing,Advertising,85884
23-03-2024,Supply Chain,Logistics,43876
09-11-2024,Marketing,Advertising,112362
12-12-2024,Supply Chain,Trade Promotion,149719
04-02-2024,Marketing,Trade Promotion,177505
27-03-2024,Sales,Salaries,188698
22-08-2024,Marketing,Office Expenses,92324
03-02-2024,Admin,Salaries,12494
15-05-2024,Finance,Salaries,172885
12-07-2024,Admin,Office Expenses,146571
29-03-2024,Marketing,Trade Promotion,150443
04-08-2024,Marketing,Salaries,27631
14-02-2024,Marketing,Office Expenses,94772
14-12-2024,Finance,Trade Promotion,25153
04-10-2024,Finance,Office Expenses,104848
03-09-2024,Supply Chain,Office Expenses,172598
21-05-2024,Marketing,Advertising,195215
28-06-2024,Supply Chain,Trade Promotion,147267
21-04-2024,Admin,Salaries,14133
22-08-2024,Finance,Office Expenses,8948
17-02-2024,Sales,Advertising,160481
26-11-2024,Finance,Logistics,123300
29-08-2024,Supply Chain,Logistics,199639
30-08-2024,Sales,Advertising,185309
27-06-2024,Sales,Trade Promotion,15139
20-05-2024,Sales,Logistics,37349
15-10-2024,Finance,Salaries,104129
26-08-2024,Marketing,Advertising,117036
28-06-2024,Sales,Office Expenses,13135
18-10-2024,Admin,Advertising,70018
20-02-2024,Admin,Salaries,181335
24-06-2024,Sales,Advertising,112559
18-06-2024,Admin,Salaries,3790
14-08-2024,Admin,Salaries,11454
05-01-2024,Admin,Advertising,179456
19-08-2024,Supply Chain,Advertising,76081
09-09-2024,Supply Chain,Advertising,2293
09-10-2024,Admin,Office Expenses,180944
11-06-2024,Marketing,Office Expenses,171751
14-03-2024,Admin,Salaries,2345
28-01-2024,Supply Chain,Logistics,61541
18-12-2024,Sales,Advertising,167050
18-10-2024,Admin,Logistics,16016
08-04-2024,Finance,Trade Promotion,29830
17-01-2024,Supply Chain,Trade Promotion,115922
21-07-2024,Supply Chain,Advertising,123931
12-06-2024,Supply Chain,Trade Promotion,59026
06-02-2024,Sales,Logistics,138236
25-05-2024,Finance,Trade Promotion,175746
13-10-2024,Finance,Advertising,146387
04-06-2024,Finance,Salaries,190997
05-03-2024,Supply Chain,Office Expenses,49925
07-06-2024,Admin,Office Expenses,137746
25-04-2024,Admin,Office Expenses,54436
09-02-2024,Finance,Salaries,194036
19-05-2024,Supply Chain,Trade Promotion,18151
12-12-2024,Admin,Office Expenses,188830
09-10-2024,Marketing,Logistics,48648
07-07-2024,Admin,Trade Promotion,5740
19-04-2024,Admin,Salaries,42016
02-12-2024,Marketing,Office Expenses,154519
01-06-2024,Admin,Trade Promotion,105484
03-04-2024,Sales,Salaries,88125
17-05-2024,Supply Chain,Advertising,63951
25-12-2024,Sales,Office Expenses,1740
15-01-2024,Sales,Advertising,86800
26-05-2024,Supply Chain,Advertising,145543
08-03-2024,Sales,Office Expenses,115757
22-05-2024,Admin,Logistics,105667
16-08-2024,Finance,Advertising,53111
27-09-2024,Finance,Salaries,150507
06-04-2024,Sales,Logistics,8340
13-01-2024,Finance,Advertising,51440
27-07-2024,Sales,Advertising,172356
28-02-2024,Supply Chain,Office Expenses,36298
25-09-2024,Marketing,Office Expenses,31642
26-02-2024,Sales,Trade Promotion,79234
30-06-2024,Marketing,Office Expenses,150163
22-10-2024,Admin,Office Expenses,159830
15-12-2024,Supply Chain,Trade Promotion,9431
09-04-2024,Finance,Logistics,18343
13-10-2024,Sales,Trade Promotion,126100
25-09-2024,Sales,Office Expenses,56825
06-10-2024,Admin,Logistics,192306
14-12-2024,Supply Chain,Trade Promotion,103981
25-02-2024,Marketing,Trade Promotion,135874
28-10-2024,Supply Chain,Trade Promotion,168900
14-09-2024,Admin,Office Expenses,121081
05-11-2024,Marketing,Advertising,63538
20-03-2024,Marketing,Trade Promotion,73513
10-10-2024,Sales,Logistics,158362
11-12-2024,Sales,Office Expenses,144202
17-12-2024,Supply Chain,Logistics,120377
07-07-2024,Marketing,Advertising,120566
27-12-2024,Sales,Logistics,81629
14-07-2024,Marketing,Trade Promotion,3702
12-05-2024,Marketing,Logistics,82769
17-01-2024,Finance,Logistics,37189
27-05-2024,Sales,Office Expenses,71089
16-06-2024,Sales,Logistics,108891
02-04-2024,Sales,Salaries,114019
22-03-2024,Finance,Salaries,185922
04-11-2024,Admin,Office Expenses,6125
23-11-2024,Finance,Salaries,43926
16-06-2024,Admin,Office Expenses,95484
27-07-2024,Supply Chain,Logistics,159723
15-02-2024,Sales,Office Expenses,7346
30-07-2024,Admin,Salaries,150780
09-10-2024,Marketing,Trade Promotion,98384
02-01-2024,Admin,Trade Promotion,95084
21-02-2024,Admin,Salaries,186430
11-10-2024,Marketing,Trade Promotion,187700
06-01-2024,Supply Chain,Office Expenses,48493
27-05-2024,Sales,Salaries,172909
26-11-2024,Finance,Advertising,57426
21-04-2024,Supply Chain,Logistics,172200
25-05-2024,Finance,Advertising,59911
12-04-2024,Finance,Office Expenses,128931
22-01-2024,Supply Chain,Salaries,14985
14-01-2024,Admin,Logistics,146635
06-01-2024,Supply Chain,Advertising,37066
03-10-2024,Finance,Office Expenses,58303
15-11-2024,Supply Chain,Office Expenses,183853
20-09-2024,Marketing,Trade Promotion,91981
30-09-2024,Admin,Logistics,77810
16-07-2024,Admin,Logistics,169890
28-04-2024,Finance,Advertising,63963
20-12-2024,Admin,Logistics,146353
30-06-2024,Finance,Advertising,197314
11-06-2024,Marketing,Salaries,50006
27-10-2024,Finance,Salaries,108345
29-06-2024,Marketing,Salaries,36641
05-11-2024,Marketing,Advertising,146595
03-07-2024,Admin,Advertising,79502
13-03-2024,Admin,Salaries,24907
20-03-2024,Finance,Salaries,174111
21-07-2024,Finance,Logistics,89475
17-02-2024,Admin,Logistics,52872
24-10-2024,Finance,Advertising,153984
05-10-2024,Supply Chain,Trade Promotion,154238
30-06-2024,Finance,Trade Promotion,2176
02-03-2024,Supply Chain,Logistics,127968
04-07-2024,Finance,Office Expenses,171967
30-07-2024,Supply Chain,Trade Promotion,176905
02-12-2024,Marketing,Advertising,152195
03-12-2024,Sales,Office Expenses,64845
11-10-2024,Finance,Advertising,93585
08-06-2024,Finance,Logistics,158046
19-02-2024,Marketing,Advertising,77714
01-05-2024,Admin,Trade Promotion,192888
28-10-2024,Admin,Salaries,11910
13-05-2024,Admin,Advertising,134904
20-11-2024,Marketing,Trade Promotion,171257
23-07-2024,Sales,Salaries,157381
01-06-2024,Admin,Advertising,163611
16-12-2024,Admin,Office Expenses,166832
13-08-2024,Finance,Advertising,176830
26-02-2024,Marketing,Advertising,111655
02-06-2024,Marketing,Advertising,62111
05-12-2024,Supply Chain,Office Expenses,28634
23-04-2024,Finance,Advertising,65557
06-01-2024,Supply Chain,Office Expenses,86414
05-04-2024,Supply Chain,Advertising,85055
28-02-2024,Sales,Salaries,93131
11-11-2024,Admin,Salaries,71561
11-01-2024,Marketing,Office Expenses,98547
16-02-2024,Supply Chain,Salaries,86128
03-11-2024,Finance,Advertising,194411
22-09-2024,Marketing,Trade Promotion,134383
15-06-2024,Admin,Trade Promotion,117352
18-10-2024,Marketing,Advertising,155315
27-05-2024,Sales,Salaries,30961
15-02-2024,Admin,Logistics,161657
09-03-2024,Admin,Trade Promotion,81196
14-03-2024,Marketing,Salaries,190367
03-03-2024,Finance,Office Expenses,177469
08-06-2024,Supply Chain,Salaries,186246
16-06-2024,Supply Chain,Trade Promotion,89341
16-06-2024,Supply Chain,Logistics,121751
01-04-2024,Marketing,Logistics,124209
04-10-2024,Finance,Trade Promotion,129254
17-11-2024,Marketing,Advertising,145249
23-07-2024,Supply Chain,Trade Promotion,45994
17-10-2024,Supply Chain,Office Expenses,36050
27-01-2024,Supply Chain,Salaries,107232
06-06-2024,Finance,Trade Promotion,179637
29-01-2024,Sales,Office Expenses,102613
11-06-2024,Supply Chain,Advertising,51877
06-02-2024,Supply Chain,Logistics,36152
02-06-2024,Finance,Advertising,23595
04-01-2024,Marketing,Trade Promotion,118257
08-04-2024,Admin,Logistics,141650
06-07-2024,Admin,Salaries,66796
04-09-2024,Finance,Trade Promotion,165536
10-01-2024,Sales,Logistics,122972
30-01-2024,Marketing,Trade Promotion,141316
15-03-2024,Supply Chain,Salaries,110381
23-05-2024,Marketing,Trade Promotion,60124
27-04-2024,Sales,Office Expenses,108664
09-02-2024,Supply Chain,Advertising,153294
01-01-2024,Finance,Trade Promotion,179108
27-10-2024,Finance,Office Expenses,118342
19-09-2024,Supply Chain,Office Expenses,159432
23-10-2024,Supply Chain,Trade Promotion,178696
19-11-2024,Finance,Logistics,26296
02-01-2024,Sales,Logistics,44063
29-09-2024,Sales,Advertising,110948
18-05-2024,Finance,Logistics,39654
26-10-2024,Marketing,Salaries,75237
23-03-2024,Sales,Trade Promotion,172311
26-09-2024,Sales,Logistics,55691
19-03-2024,Sales,Salaries,17570
05-07-2024,Admin,Salaries,79724
06-07-2024,Admin,Office Expenses,49100
02-02-2024,Supply Chain,Logistics,147049
09-05-2024,Sales,Advertising,195766
02-01-2024,Admin,Salaries,81588
29-02-2024,Sales,Logistics,51465
01-05-2024,Sales,Trade Promotion,188818
22-03-2024,Supply Chain,Advertising,53387
06-06-2024,Finance,Logistics,137229
31-07-2024,Finance,Trade Promotion,180702
18-10-2024,Sales,Salaries,121031
27-04-2024,Supply Chain,Salaries,25715
07-03-2024,Admin,Trade Promotion,154490
24-05-2024,Marketing,Logistics,143738
13-03-2024,Supply Chain,Salaries,8114
09-06-2024,Sales,Logistics,196280
26-02-2024,Finance,Salaries,142184
13-08-2024,Admin,Office Expenses,163992
27-10-2024,Supply Chain,Salaries,32930
30-06-2024,Finance,Salaries,109873
10-11-2024,Supply Chain,Office Expenses,49781
08-01-2024,Marketing,Advertising,94093
27-09-2024,Supply Chain,Office Expenses,11255
06-05-2024,Marketing,Advertising,42477
07-06-2024,Admin,Salaries,124108
04-03-2024,Sales,Advertising,174023
05-01-2024,Sales,Trade Promotion,170112
18-06-2024,Marketing,Trade Promotion,194391
27-12-2024,Admin,Trade Promotion,98400
11-10-2024,Supply Chain,Office Expenses,54170
28-06-2024,Supply Chain,Trade Promotion,28594
29-06-2024,Admin,Logistics,64534
13-01-2024,Marketing,Trade Promotion,52558
30-10-2024,Marketing,Salaries,196762
30-07-2024,Sales,Trade Promotion,102919
24-04-2024,Sales,Advertising,70060
05-02-2024,Admin,Salaries,32336
27-01-2024,Supply Chain,Salaries,188444
16-08-2024,Finance,Trade Promotion,56664
06-05-2024,Marketing,Advertising,107278
06-04-2024,Admin,Salaries,38883
02-04-2024,Finance,Salaries,47990
31-03-2024,Admin,Logistics,3137
16-09-2024,Supply Chain,Office Expenses,42642
21-07-2024,Finance,Advertising,108305
04-08-2024,Marketing,Trade Promotion,110756
29-04-2024,Admin,Salaries,66860
12-05-2024,Admin,Salaries,77382
20-02-2024,Sales,Office Expenses,38101
06-03-2024,Supply Chain,Trade Promotion,47512
09-02-2024,Admin,Logistics,88304
29-04-2024,Marketing,Logistics,198498
09-10-2024,Finance,Advertising,118632
27-07-2024,Sales,Office Expenses,126498
30-06-2024,Finance,Office Expenses,70850
21-07-2024,Finance,Salaries,104076
09-01-2024,Sales,Salaries,39398
23-09-2024,Admin,Salaries,197701
16-08-2024,Supply Chain,Salaries,88006
10-03-2024,Supply Chain,Trade Promotion,35354
30-01-2024,Finance,Trade Promotion,12319
02-04-2024,Finance,Advertising,150142
10-08-2024,Supply Chain,Logistics,23350
28-11-2024,Marketing,Advertising,54836
27-04-2024,Marketing,Salaries,1583
03-12-2024,Finance,Office Expenses,197586
27-11-2024,Supply Chain,Trade Promotion,174756
07-09-2024,Sales,Trade Promotion,160257
24-06-2024,Admin,Trade Promotion,179136
27-07-2024,Sales,Trade Promotion,80156
22-09-2024,Marketing,Office Expenses,73221
20-05-2024,Marketing,Advertising,40718
29-02-2024,Marketing,Trade Promotion,74260
05-10-2024,Finance,Salaries,196571
12-10-2024,Finance,Salaries,19469
29-04-2024,Sales,Advertising,11019
12-11-2024,Sales,Advertising,87234
10-10-2024,Sales,Advertising,92397
30-05-2024,Marketing,Advertising,13274
31-10-2024,Admin,Office Expenses,70998
19-07-2024,Admin,Trade Promotion,112489
07-04-2024,Supply Chain,Office Expenses,133884
26-01-2024,Supply Chain,Office Expenses,135787
02-12-2024,Marketing,Trade Promotion,137584
08-03-2024,Supply Chain,Office Expenses,186918
18-03-2024,Admin,Advertising,94526
14-09-2024,Finance,Logistics,95318
30-10-2024,Marketing,Salaries,110535
10-03-2024,Finance,Advertising,63000
28-11-2024,Supply Chain,Advertising,143172
26-11-2024,Finance,Trade Promotion,78028
13-04-2024,Sales,Logistics,58229
10-12-2024,Marketing,Trade Promotion,121475
12-10-2024,Marketing,Advertising,156444
30-05-2024,Supply Chain,Office Expenses,105386
05-03-2024,Admin,Salaries,85509
30-11-2024,Finance,Salaries,193165
06-09-2024,Finance,Advertising,191539
26-12-2024,Finance,Trade Promotion,60419
13-11-2024,Finance,Logistics,168165
23-02-2024,Supply Chain,Logistics,30534
19-12-2024,Finance,Advertising,116767
22-08-2024,Sales,Logistics,158666
11-07-2024,Finance,Trade Promotion,67866
09-11-2024,Sales,Logistics,29297
29-06-2024,Finance,Trade Promotion,144544
14-09-2024,Admin,Advertising,25355
31-10-2024,Finance,Logistics,54534
21-01-2024,Marketing,Trade Promotion,47331
23-10-2024,Finance,Office Expenses,114759
12-03-2024,Admin,Logistics,38820
05-06-2024,Finance,Salaries,94664
25-08-2024,Admin,Logistics,102252
24-11-2024,Sales,Logistics,19404
22-02-2024,Supply Chain,Office Expenses,149140
11-05-2024,Supply Chain,Logistics,169143
13-07-2024,Sales,Logistics,184027
28-12-2024,Finance,Advertising,195191
04-01-2024,Marketing,Advertising,14355
31-03-2024,Marketing,Trade Promotion,53718
19-10-2024,Admin,Salaries,68243
19-04-2024,Finance,Logistics,60202
13-12-2024,Admin,Advertising,127340
01-07-2024,Finance,Trade Promotion,100351
28-01-2024,Finance,Office Expenses,179700
02-05-2024,Finance,Salaries,128858
29-02-2024,Marketing,Office Expenses,50258
01-09-2024,Admin,Trade Promotion,197619
