Invoice_Number,Invoice_Date,Customer_Name,Region,Product,Sales_Amount
INV100033,45562,Verma Traders,South,Soap 100g,41183
INV100034,45481,Gupta Retailers,South,Soap 100g,30974
INV100035,45466,Agarwal Stores,South,Detergent 1kg,10705
INV100036,45342,Verma Traders,West,Detergent 1kg,34490
INV100037,45655,Gupta Retailers,West,Soap 100g,10028
INV100038,45346,Gupta Retailers,West,Detergent 1kg,46585
INV100039,45535,Gupta Retailers,West,Biscuits 200g,16772
INV100040,45611,Verma Traders,West,Toothpaste 150g,14080
INV100041,45422,Gupta Retailers,North,Biscuits 200g,44078
INV100042,45598,Gupta Retailers,West,Detergent 1kg,32034
INV100043,45426,Agarwal Stores,South,Shampoo 180ml,41197
INV100044,45312,Gupta Retailers,East,Soap 100g,26479
INV100045,45620,Gupta Retailers,South,Detergent 1kg,42603
INV100046,45458,Singh Enterprises,South,Detergent 1kg,7187
INV100047,45565,Verma Traders,North,Detergent 1kg,38315
INV100048,45380,Singh Enterprises,East,Biscuits 200g,41910
INV100049,45607,Agarwal Stores,South,Soap 100g,18302
INV100050,45305,Singh Enterprises,North,Toothpaste 150g,19817
INV100051,45533,Sharma Distributors,East,Detergent 1kg,43949
INV100052,45556,Verma Traders,East,Shampoo 180ml,33063
INV100053,45637,Gupta Retailers,North,Soap 100g,32400
INV100054,45344,Singh Enterprises,West,Toothpaste 150g,11893
INV100055,45631,Singh Enterprises,North,Shampoo 180ml,1758
INV100056,45383,Gupta Retailers,North,Toothpaste 150g,12215
INV100057,45555,Gupta Retailers,West,Toothpaste 150g,33235
INV100058,45326,Agarwal Stores,North,Soap 100g,3620
INV100059,45497,Singh Enterprises,North,Biscuits 200g,7012
INV100060,45372,Singh Enterprises,North,Shampoo 180ml,41864
INV100061,45341,Sharma Distributors,South,Detergent 1kg,15968
INV100062,45651,Sharma Distributors,North,Toothpaste 150g,30291
INV100063,45293,Singh Enterprises,North,Shampoo 180ml,14365
INV100064,45345,Sharma Distributors,East,Soap 100g,6307
INV100065,45397,Singh Enterprises,East,Shampoo 180ml,34407
INV100066,45551,Verma Traders,East,Detergent 1kg,42130
INV100067,45601,Agarwal Stores,North,Detergent 1kg,2161
INV100068,45482,Sharma Distributors,West,Soap 100g,34890
INV100069,45509,Singh Enterprises,North,Shampoo 180ml,39015
INV100070,45335,Sharma Distributors,South,Biscuits 200g,39914
INV100071,45453,Agarwal Stores,South,Biscuits 200g,24632
INV100072,45493,Verma Traders,South,Toothpaste 150g,21827
INV100073,45561,Gupta Retailers,South,Toothpaste 150g,37566
INV100074,45642,Gupta Retailers,North,Shampoo 180ml,24664
INV100075,45595,Sharma Distributors,East,Toothpaste 150g,17582
INV100076,45562,Singh Enterprises,North,Detergent 1kg,37936
INV100077,45506,Agarwal Stores,North,Soap 100g,35025
INV100078,45543,Verma Traders,North,Toothpaste 150g,48351
INV100079,45481,Verma Traders,North,Biscuits 200g,25194
INV100080,45587,Verma Traders,West,Detergent 1kg,22308
INV100081,45504,Gupta Retailers,East,Biscuits 200g,31004
INV100082,45499,Agarwal Stores,East,Toothpaste 150g,45273
INV100083,45528,Gupta Retailers,South,Toothpaste 150g,14011
INV100084,45629,Sharma Distributors,North,Detergent 1kg,31084
INV100085,45344,Verma Traders,South,Biscuits 200g,23816
INV100086,45571,Agarwal Stores,East,Soap 100g,49691
INV100087,45508,Verma Traders,East,Soap 100g,15803
INV100088,45543,Gupta Retailers,South,Detergent 1kg,23888
INV100089,45479,Gupta Retailers,East,Toothpaste 150g,10305
INV100090,45332,Gupta Retailers,East,Detergent 1kg,39001
INV100091,45448,Verma Traders,West,Biscuits 200g,10173
INV100092,45306,Agarwal Stores,North,Soap 100g,28878
INV100093,45592,Agarwal Stores,North,Toothpaste 150g,45800
INV100094,45356,Sharma Distributors,East,Biscuits 200g,8590
INV100095,45636,Verma Traders,East,Soap 100g,10587
INV100096,45618,Sharma Distributors,West,Soap 100g,14061
INV100097,45300,Sharma Distributors,South,Shampoo 180ml,33750
INV100098,45635,Sharma Distributors,West,Toothpaste 150g,13207
INV100099,45420,Sharma Distributors,West,Detergent 1kg,29206
INV100100,45427,Gupta Retailers,South,Shampoo 180ml,6120
INV100101,45354,Sharma Distributors,East,Soap 100g,792
INV100102,45430,Agarwal Stores,North,Toothpaste 150g,49119
INV100103,45372,Sharma Distributors,West,Toothpaste 150g,25215
INV100104,45454,Gupta Retailers,West,Shampoo 180ml,37260
INV100105,45580,Singh Enterprises,North,Biscuits 200g,11727
INV100106,45552,Singh Enterprises,West,Biscuits 200g,25906
INV100107,45522,Singh Enterprises,South,Detergent 1kg,27498
INV100108,45332,Verma Traders,North,Toothpaste 150g,41963
INV100109,45319,Agarwal Stores,North,Shampoo 180ml,11205
INV100110,45426,Gupta Retailers,South,Soap 100g,28413
INV100111,45492,Singh Enterprises,South,Biscuits 200g,8493
INV100112,45619,Gupta Retailers,North,Shampoo 180ml,33370
INV100113,45559,Gupta Retailers,South,Detergent 1kg,6134
INV100114,45324,Verma Traders,West,Detergent 1kg,13496
INV100115,45339,Singh Enterprises,East,Toothpaste 150g,26922
INV100116,45353,Sharma Distributors,West,Detergent 1kg,14785
INV100117,45507,Gupta Retailers,South,Detergent 1kg,29472
INV100118,45584,Singh Enterprises,West,Biscuits 200g,4252
INV100119,45390,Gupta Retailers,East,Biscuits 200g,3923
INV100120,45463,Verma Traders,East,Detergent 1kg,49309
INV100121,45651,Verma Traders,East,Toothpaste 150g,30740
INV100122,45505,Sharma Distributors,South,Biscuits 200g,40249
INV100123,45326,Verma Traders,South,Biscuits 200g,5073
INV100124,45518,Singh Enterprises,South,Detergent 1kg,47097
INV100125,45392,Verma Traders,East,Toothpaste 150g,16757
INV100126,45422,Sharma Distributors,South,Detergent 1kg,36493
INV100127,45548,Agarwal Stores,North,Soap 100g,18979
INV100128,45296,Gupta Retailers,West,Soap 100g,41171
INV100129,45509,Gupta Retailers,West,Toothpaste 150g,42552
INV100130,45546,Singh Enterprises,North,Soap 100g,32675
INV100131,45650,Sharma Distributors,South,Toothpaste 150g,11292
INV100132,45574,Sharma Distributors,West,Soap 100g,41566
INV100133,45498,Sharma Distributors,East,Shampoo 180ml,22183
INV100134,45306,Gupta Retailers,West,Biscuits 200g,11010
INV100135,45637,Verma Traders,West,Detergent 1kg,8904
INV100136,45333,Gupta Retailers,West,Toothpaste 150g,17240
INV100137,45470,Gupta Retailers,South,Soap 100g,24584
INV100138,45354,Gupta Retailers,North,Shampoo 180ml,39308
INV100139,45643,Verma Traders,West,Soap 100g,21700
INV100140,45522,Agarwal Stores,East,Shampoo 180ml,47380
INV100141,45532,Singh Enterprises,West,Detergent 1kg,38172
INV100142,45343,Agarwal Stores,South,Biscuits 200g,2420
INV100143,45387,Agarwal Stores,South,Biscuits 200g,42546
INV100144,45513,Gupta Retailers,East,Shampoo 180ml,28566
INV100145,45522,Agarwal Stores,West,Soap 100g,28579
INV100146,45528,Gupta Retailers,West,Biscuits 200g,7706
INV100147,45434,Gupta Retailers,East,Soap 100g,49799
INV100148,45462,Singh Enterprises,North,Toothpaste 150g,19410
INV100149,45320,Sharma Distributors,South,Soap 100g,27289
INV100150,45327,Gupta Retailers,North,Toothpaste 150g,18954
INV100151,45304,Agarwal Stores,North,Toothpaste 150g,1407
INV100152,45451,Singh Enterprises,West,Biscuits 200g,20217
INV100153,45618,Agarwal Stores,East,Toothpaste 150g,48331
INV100154,45478,Sharma Distributors,South,Soap 100g,13909
INV100155,45534,Verma Traders,North,Detergent 1kg,47060
INV100156,45377,Sharma Distributors,North,Soap 100g,29690
INV100157,45575,Singh Enterprises,West,Shampoo 180ml,47398
INV100158,45357,Sharma Distributors,West,Shampoo 180ml,2817
INV100159,45461,Sharma Distributors,West,Soap 100g,39127
INV100160,45336,Singh Enterprises,East,Shampoo 180ml,28897
INV100161,45353,Singh Enterprises,South,Detergent 1kg,16522
INV100162,45425,Agarwal Stores,South,Shampoo 180ml,3845
INV100163,45575,Gupta Retailers,West,Biscuits 200g,49872
INV100164,45319,Verma Traders,North,Detergent 1kg,38967
INV100165,45399,Verma Traders,West,Biscuits 200g,28428
INV100166,45335,Verma Traders,West,Biscuits 200g,15380
INV100167,45631,Sharma Distributors,East,Detergent 1kg,3110
INV100168,45577,Singh Enterprises,West,Biscuits 200g,49418
INV100169,45622,Singh Enterprises,South,Shampoo 180ml,5413
INV100170,45419,Singh Enterprises,West,Soap 100g,4232
INV100171,45639,Gupta Retailers,South,Detergent 1kg,32218
INV100172,45522,Singh Enterprises,North,Soap 100g,1074
INV100173,45481,Singh Enterprises,South,Detergent 1kg,31341
INV100174,45516,Sharma Distributors,South,Detergent 1kg,24419
INV100175,45574,Agarwal Stores,West,Biscuits 200g,3086
INV100176,45412,Verma Traders,South,Soap 100g,32452
INV100177,45407,Sharma Distributors,South,Shampoo 180ml,30184
INV100178,45524,Sharma Distributors,North,Soap 100g,18182
INV100179,45550,Sharma Distributors,South,Detergent 1kg,11988
INV100180,45650,Verma Traders,South,Shampoo 180ml,8749
INV100181,45489,Sharma Distributors,West,Biscuits 200g,19171
INV100182,45428,Agarwal Stores,East,Shampoo 180ml,18407
INV100183,45609,Singh Enterprises,West,Shampoo 180ml,7634
INV100184,45456,Agarwal Stores,North,Soap 100g,19330
INV100185,45516,Singh Enterprises,West,Detergent 1kg,48693
INV100186,45598,Singh Enterprises,South,Detergent 1kg,37344
INV100187,45525,Sharma Distributors,East,Detergent 1kg,15317
INV100188,45463,Sharma Distributors,West,Toothpaste 150g,2978
INV100189,45443,Verma Traders,West,Biscuits 200g,2593
INV100190,45606,Gupta Retailers,North,Soap 100g,8524
INV100191,45451,Agarwal Stores,South,Detergent 1kg,43491
INV100192,45387,Verma Traders,West,Shampoo 180ml,10430
INV100193,45524,Verma Traders,West,Toothpaste 150g,40991
INV100194,45471,Agarwal Stores,East,Biscuits 200g,39014
INV100195,45404,Agarwal Stores,North,Detergent 1kg,21547
INV100196,45609,Singh Enterprises,South,Toothpaste 150g,27255
INV100197,45343,Gupta Retailers,West,Biscuits 200g,31512
INV100198,45559,Sharma Distributors,East,Shampoo 180ml,9549
INV100199,45586,Gupta Retailers,West,Toothpaste 150g,21864
INV100200,45404,Gupta Retailers,West,Soap 100g,40725
INV100201,45392,Sharma Distributors,North,Biscuits 200g,32579
INV100202,45404,Gupta Retailers,East,Toothpaste 150g,30812
INV100203,45372,Verma Traders,East,Toothpaste 150g,22050
INV100204,45478,Verma Traders,South,Biscuits 200g,32873
INV100205,45404,Sharma Distributors,West,Toothpaste 150g,36163
INV100206,45293,Sharma Distributors,East,Toothpaste 150g,34873
INV100207,45421,Agarwal Stores,West,Biscuits 200g,2068
INV100208,45511,Agarwal Stores,West,Shampoo 180ml,48677
INV100209,45345,Gupta Retailers,South,Soap 100g,20738
INV100210,45634,Gupta Retailers,South,Biscuits 200g,44295
INV100211,45515,Sharma Distributors,East,Detergent 1kg,28607
INV100212,45516,Gupta Retailers,West,Toothpaste 150g,39408
INV100213,45417,Singh Enterprises,East,Soap 100g,44402
INV100214,45421,Verma Traders,West,Soap 100g,37451
INV100215,45344,Gupta Retailers,East,Biscuits 200g,31763
INV100216,45463,Gupta Retailers,East,Detergent 1kg,7132
INV100217,45509,Agarwal Stores,West,Detergent 1kg,31843
INV100218,45451,Singh Enterprises,North,Shampoo 180ml,21729
INV100219,45489,Gupta Retailers,South,Detergent 1kg,11010
INV100220,45538,Verma Traders,West,Biscuits 200g,22190
INV100221,45615,Gupta Retailers,East,Soap 100g,29755
INV100222,45494,Sharma Distributors,North,Soap 100g,16631
INV100223,45475,Singh Enterprises,East,Detergent 1kg,12814
INV100224,45414,Gupta Retailers,North,Toothpaste 150g,11864
INV100225,45546,Singh Enterprises,West,Shampoo 180ml,8109
INV100226,45585,Gupta Retailers,South,Detergent 1kg,9384
INV100227,45571,Verma Traders,East,Biscuits 200g,36334
INV100228,45616,Verma Traders,North,Shampoo 180ml,17434
INV100229,45389,Singh Enterprises,North,Detergent 1kg,16258
INV100230,45489,Agarwal Stores,South,Shampoo 180ml,19206
INV100231,45531,Agarwal Stores,East,Toothpaste 150g,37992
INV100232,45435,Sharma Distributors,West,Biscuits 200g,49665
INV100233,45388,Agarwal Stores,West,Detergent 1kg,20282
INV100234,45492,Singh Enterprises,East,Soap 100g,2453
INV100235,45415,Agarwal Stores,South,Biscuits 200g,21772
INV100236,45478,Sharma Distributors,South,Toothpaste 150g,1948
INV100237,45617,Gupta Retailers,South,Toothpaste 150g,30796
INV100238,45640,Agarwal Stores,North,Soap 100g,4389
INV100239,45550,Singh Enterprises,North,Biscuits 200g,37474
INV100240,45439,Singh Enterprises,South,Detergent 1kg,45122
INV100241,45543,Sharma Distributors,East,Soap 100g,22685
INV100242,45637,Sharma Distributors,West,Detergent 1kg,41782
INV100243,45438,Verma Traders,North,Shampoo 180ml,34135
INV100244,45439,Verma Traders,South,Detergent 1kg,49161
INV100245,45643,Verma Traders,North,Shampoo 180ml,30863
INV100246,45490,Gupta Retailers,North,Detergent 1kg,49491
INV100247,45599,Singh Enterprises,South,Shampoo 180ml,17754
INV100248,45419,Verma Traders,East,Biscuits 200g,8908
INV100249,45330,Singh Enterprises,West,Toothpaste 150g,33780
INV100250,45629,Sharma Distributors,East,Biscuits 200g,43423
INV100251,45651,Gupta Retailers,North,Soap 100g,15242
INV100252,45420,Sharma Distributors,East,Biscuits 200g,26723
INV100253,45558,Singh Enterprises,East,Biscuits 200g,42070
INV100254,45442,Verma Traders,West,Toothpaste 150g,30270
INV100255,45589,Sharma Distributors,South,Biscuits 200g,10370
INV100256,45390,Agarwal Stores,South,Soap 100g,5337
INV100257,45554,Gupta Retailers,South,Biscuits 200g,34167
INV100258,45543,Singh Enterprises,East,Biscuits 200g,28063
INV100259,45435,Verma Traders,East,Biscuits 200g,28092
INV100260,45637,Sharma Distributors,West,Biscuits 200g,40468
INV100261,45403,Gupta Retailers,South,Toothpaste 150g,42671
INV100262,45351,Verma Traders,West,Toothpaste 150g,30813
INV100263,45293,Sharma Distributors,West,Soap 100g,8633
INV100264,45595,Singh Enterprises,East,Soap 100g,28705
INV100265,45545,Agarwal Stores,South,Soap 100g,1294
INV100266,45431,Agarwal Stores,North,Biscuits 200g,2575
INV100267,45328,Singh Enterprises,North,Detergent 1kg,23457
INV100268,45451,Gupta Retailers,East,Biscuits 200g,16990
INV100269,45300,Singh Enterprises,East,Detergent 1kg,48661
INV100270,45524,Sharma Distributors,East,Soap 100g,30608
INV100271,45390,Gupta Retailers,East,Biscuits 200g,21587
INV100272,45438,Agarwal Stores,North,Soap 100g,31346
INV100273,45595,Sharma Distributors,South,Toothpaste 150g,45482
INV100274,45499,Verma Traders,West,Soap 100g,28716
INV100275,45422,Verma Traders,North,Biscuits 200g,33903
INV100276,45443,Verma Traders,South,Toothpaste 150g,23938
INV100277,45345,Agarwal Stores,East,Toothpaste 150g,37902
INV100278,45411,Singh Enterprises,West,Detergent 1kg,9405
INV100279,45452,Gupta Retailers,South,Shampoo 180ml,622
INV100280,45407,Agarwal Stores,South,Toothpaste 150g,29743
INV100281,45366,Sharma Distributors,West,Shampoo 180ml,18238
INV100282,45404,Sharma Distributors,South,Soap 100g,41531
INV100283,45395,Verma Traders,South,Soap 100g,43400
INV100284,45631,Gupta Retailers,West,Toothpaste 150g,8984
INV100285,45545,Verma Traders,West,Detergent 1kg,29067
INV100286,45518,Sharma Distributors,North,Soap 100g,17505
INV100287,45403,Sharma Distributors,East,Shampoo 180ml,15848
INV100288,45390,Singh Enterprises,East,Toothpaste 150g,16090
INV100289,45444,Singh Enterprises,South,Toothpaste 150g,37678
INV100290,45640,Singh Enterprises,East,Detergent 1kg,31746
INV100291,45629,Verma Traders,North,Toothpaste 150g,43019
INV100292,45485,Gupta Retailers,South,Biscuits 200g,1342
INV100293,45601,Singh Enterprises,East,Shampoo 180ml,24004
INV100294,45454,Agarwal Stores,East,Biscuits 200g,48379
INV100295,45499,Singh Enterprises,South,Biscuits 200g,49245
INV100296,45460,Verma Traders,West,Shampoo 180ml,22873
INV100297,45452,Gupta Retailers,North,Toothpaste 150g,11933
INV100298,45359,Singh Enterprises,South,Toothpaste 150g,30310
INV100299,45580,Gupta Retailers,South,Biscuits 200g,21998
INV100300,45568,Agarwal Stores,East,Shampoo 180ml,41458
INV100301,45595,Sharma Distributors,West,Soap 100g,43879
INV100302,45426,Gupta Retailers,East,Shampoo 180ml,2699
INV100303,45486,Singh Enterprises,South,Biscuits 200g,32526
INV100304,45419,Verma Traders,South,Shampoo 180ml,26584
INV100305,45324,Verma Traders,East,Shampoo 180ml,11378
INV100306,45467,Verma Traders,West,Soap 100g,25440
INV100307,45313,Verma Traders,South,Detergent 1kg,47561
INV100308,45529,Gupta Retailers,North,Detergent 1kg,44067
INV100309,45449,Verma Traders,West,Soap 100g,16601
INV100310,45329,Sharma Distributors,South,Shampoo 180ml,10633
INV100311,45521,Agarwal Stores,West,Biscuits 200g,44443
INV100312,45656,Gupta Retailers,West,Soap 100g,42787
INV100313,45342,Gupta Retailers,North,Detergent 1kg,39588
INV100314,45555,Verma Traders,South,Detergent 1kg,12048
INV100315,45574,Verma Traders,West,Soap 100g,37882
INV100316,45318,Gupta Retailers,South,Shampoo 180ml,10006
INV100317,45517,Verma Traders,South,Toothpaste 150g,22683
INV100318,45568,Verma Traders,West,Biscuits 200g,8374
INV100319,45577,Verma Traders,East,Toothpaste 150g,34496
INV100320,45388,Verma Traders,West,Biscuits 200g,38852
INV100321,45575,Verma Traders,East,Toothpaste 150g,15386
INV100322,45608,Singh Enterprises,East,Toothpaste 150g,28015
INV100323,45595,Singh Enterprises,East,Biscuits 200g,49241
INV100324,45438,Singh Enterprises,East,Biscuits 200g,20317
INV100325,45295,Gupta Retailers,West,Detergent 1kg,47754
INV100326,45326,Agarwal Stores,East,Shampoo 180ml,6503
INV100327,45483,Gupta Retailers,South,Shampoo 180ml,14868
INV100328,45340,Singh Enterprises,West,Detergent 1kg,48716
INV100329,45308,Gupta Retailers,North,Toothpaste 150g,49217
INV100330,45463,Agarwal Stores,East,Biscuits 200g,10198
INV100331,45511,Verma Traders,West,Soap 100g,44049
INV100332,45449,Sharma Distributors,East,Toothpaste 150g,21756
INV100333,45337,Singh Enterprises,South,Shampoo 180ml,20817
INV100334,45297,Singh Enterprises,East,Biscuits 200g,28273
INV100335,45390,Agarwal Stores,West,Detergent 1kg,30266
INV100336,45524,Verma Traders,South,Toothpaste 150g,23089
INV100337,45328,Verma Traders,East,Soap 100g,26811
INV100338,45571,Sharma Distributors,North,Toothpaste 150g,3898
INV100339,45640,Verma Traders,East,Detergent 1kg,44253
INV100340,45593,Agarwal Stores,East,Soap 100g,5326
INV100341,45472,Verma Traders,South,Toothpaste 150g,9868
INV100342,45386,Agarwal Stores,East,Detergent 1kg,5794
INV100343,45390,Singh Enterprises,West,Toothpaste 150g,5926
INV100344,45479,Singh Enterprises,West,Biscuits 200g,33039
INV100345,45407,Singh Enterprises,South,Toothpaste 150g,29525
INV100346,45482,Gupta Retailers,West,Detergent 1kg,10087
INV100347,45544,Singh Enterprises,North,Shampoo 180ml,5821
INV100348,45452,Agarwal Stores,East,Detergent 1kg,30103
INV100349,45547,Sharma Distributors,South,Toothpaste 150g,49328
INV100350,45614,Verma Traders,West,Biscuits 200g,30553
INV100351,45419,Singh Enterprises,North,Shampoo 180ml,16694
INV100352,45309,Gupta Retailers,North,Detergent 1kg,8596
INV100353,45572,Gupta Retailers,South,Shampoo 180ml,48817
INV100354,45514,Agarwal Stores,South,Biscuits 200g,3213
INV100355,45345,Sharma Distributors,West,Soap 100g,46515
INV100356,45349,Singh Enterprises,East,Shampoo 180ml,37867
INV100357,45614,Singh Enterprises,North,Detergent 1kg,22748
INV100358,45651,Gupta Retailers,North,Biscuits 200g,29098
INV100359,45465,Agarwal Stores,South,Detergent 1kg,41217
INV100360,45571,Gupta Retailers,North,Biscuits 200g,49252
INV100361,45405,Gupta Retailers,South,Detergent 1kg,23845
INV100362,45579,Sharma Distributors,East,Biscuits 200g,39486
INV100363,45633,Agarwal Stores,South,Toothpaste 150g,39143
INV100364,45442,Sharma Distributors,East,Detergent 1kg,38630
INV100365,45418,Agarwal Stores,West,Biscuits 200g,42154
INV100366,45446,Singh Enterprises,South,Soap 100g,43695
INV100367,45564,Verma Traders,West,Biscuits 200g,37537
INV100368,45395,Verma Traders,East,Soap 100g,5554
INV100369,45590,Agarwal Stores,North,Shampoo 180ml,11825
INV100370,45537,Verma Traders,West,Biscuits 200g,39143
INV100371,45467,Gupta Retailers,South,Shampoo 180ml,26243
INV100372,45330,Singh Enterprises,South,Shampoo 180ml,43887
INV100373,45461,Singh Enterprises,West,Toothpaste 150g,734
INV100374,45538,Verma Traders,West,Biscuits 200g,44980
INV100375,45317,Agarwal Stores,West,Toothpaste 150g,17699
INV100376,45646,Gupta Retailers,South,Toothpaste 150g,48049
INV100377,45597,Agarwal Stores,West,Shampoo 180ml,40825
INV100378,45304,Verma Traders,West,Detergent 1kg,10690
INV100379,45607,Singh Enterprises,East,Shampoo 180ml,660
INV100380,45604,Singh Enterprises,West,Shampoo 180ml,19130
INV100381,45327,Agarwal Stores,West,Soap 100g,3899
INV100382,45464,Sharma Distributors,South,Detergent 1kg,31848
INV100383,45311,Agarwal Stores,South,Shampoo 180ml,17821
INV100384,45612,Sharma Distributors,North,Detergent 1kg,40558
INV100385,45555,Agarwal Stores,South,Soap 100g,38929
INV100386,45433,Sharma Distributors,South,Detergent 1kg,46074
INV100387,45434,Sharma Distributors,South,Biscuits 200g,11675
INV100388,45383,Sharma Distributors,South,Soap 100g,47920
INV100389,45645,Sharma Distributors,West,Detergent 1kg,10881
INV100390,45613,Gupta Retailers,North,Toothpaste 150g,46768
INV100391,45579,Sharma Distributors,South,Detergent 1kg,39731
INV100392,45506,Sharma Distributors,West,Soap 100g,20383
INV100393,45633,Singh Enterprises,South,Toothpaste 150g,44693
INV100394,45342,Gupta Retailers,North,Detergent 1kg,36851
INV100395,45444,Sharma Distributors,East,Detergent 1kg,48882
INV100396,45477,Verma Traders,East,Soap 100g,38865
INV100397,45354,Gupta Retailers,North,Toothpaste 150g,1964
INV100398,45481,Singh Enterprises,West,Toothpaste 150g,38032
INV100399,45416,Agarwal Stores,West,Detergent 1kg,46744
INV100400,45441,Singh Enterprises,North,Biscuits 200g,37087
INV100401,45605,Singh Enterprises,East,Soap 100g,33612
INV100402,45349,Gupta Retailers,South,Soap 100g,10807
INV100403,45633,Gupta Retailers,East,Shampoo 180ml,31025
INV100404,45596,Verma Traders,South,Toothpaste 150g,42484
INV100405,45471,Verma Traders,North,Toothpaste 150g,47291
INV100406,45461,Gupta Retailers,North,Shampoo 180ml,4200
INV100407,45617,Gupta Retailers,North,Detergent 1kg,36775
INV100408,45562,Gupta Retailers,East,Detergent 1kg,8492
INV100409,45345,Agarwal Stores,North,Soap 100g,9013
INV100410,45392,Singh Enterprises,East,Detergent 1kg,7492
INV100411,45555,Verma Traders,West,Biscuits 200g,28124
INV100412,45344,Verma Traders,South,Biscuits 200g,46896
INV100413,45351,Sharma Distributors,South,Biscuits 200g,37159
INV100414,45399,Agarwal Stores,South,Shampoo 180ml,22366
INV100415,45296,Gupta Retailers,North,Biscuits 200g,22564
INV100416,45394,Gupta Retailers,South,Shampoo 180ml,21514
INV100417,45487,Agarwal Stores,North,Soap 100g,7368
INV100418,45553,Verma Traders,East,Soap 100g,48336
INV100419,45656,Gupta Retailers,North,Biscuits 200g,47928
INV100420,45641,Sharma Distributors,South,Shampoo 180ml,13811
INV100421,45338,Verma Traders,North,Biscuits 200g,34989
INV100422,45646,Singh Enterprises,North,Detergent 1kg,3836
INV100423,45602,Agarwal Stores,East,Shampoo 180ml,8890
INV100424,45599,Verma Traders,North,Shampoo 180ml,11845
INV100425,45435,Singh Enterprises,South,Shampoo 180ml,45634
INV100426,45560,Sharma Distributors,North,Shampoo 180ml,35245
INV100427,45415,Agarwal Stores,West,Detergent 1kg,15564
INV100428,45397,Gupta Retailers,North,Biscuits 200g,49827
INV100429,45449,Gupta Retailers,West,Soap 100g,11075
INV100430,45438,Singh Enterprises,South,Toothpaste 150g,45488
INV100431,45436,Verma Traders,West,Toothpaste 150g,42183
INV100432,45411,Sharma Distributors,West,Shampoo 180ml,11232
INV100433,45610,Singh Enterprises,West,Shampoo 180ml,39448
INV100434,45566,Sharma Distributors,West,Soap 100g,6613
INV100435,45383,Sharma Distributors,West,Toothpaste 150g,19046
INV100436,45349,Sharma Distributors,North,Shampoo 180ml,13816
INV100437,45637,Agarwal Stores,East,Detergent 1kg,32148
INV100438,45520,Singh Enterprises,West,Toothpaste 150g,2996
INV100439,45408,Agarwal Stores,South,Detergent 1kg,10013
INV100440,45609,Verma Traders,South,Soap 100g,3887
INV100441,45570,Verma Traders,North,Soap 100g,2880
INV100442,45418,Gupta Retailers,East,Toothpaste 150g,12782
INV100443,45420,Gupta Retailers,East,Biscuits 200g,16470
INV100444,45349,Gupta Retailers,West,Toothpaste 150g,6533
INV100445,45413,Verma Traders,South,Detergent 1kg,30311
INV100446,45292,Sharma Distributors,South,Biscuits 200g,38000
INV100447,45530,Sharma Distributors,North,Detergent 1kg,12766
INV100448,45581,Singh Enterprises,West,Detergent 1kg,17829
INV100449,45387,Verma Traders,South,Detergent 1kg,28769
INV100450,45417,Gupta Retailers,West,Shampoo 180ml,36030
INV100451,45409,Verma Traders,East,Biscuits 200g,2304
INV100452,45339,Sharma Distributors,West,Shampoo 180ml,27102
INV100453,45380,Sharma Distributors,West,Shampoo 180ml,19218
INV100454,45528,Agarwal Stores,North,Detergent 1kg,17370
