Invoice_Number,Customer,Invoice_Date,Due_Date,Invoice_Amount,Payment_Status
INV100034,Gupta Retailers,08-07-2024,07-08-2024,30974,Paid
INV100035,Agarwal Stores,23-06-2024,07-08-2024,10705,Unpaid
INV100036,Verma Traders,20-02-2024,05-04-2024,34490,Paid
INV100037,Gupta Retailers,29-12-2024,27-02-2025,10028,Paid
INV100038,Gupta Retailers,24-02-2024,25-03-2024,46585,Unpaid
INV100039,Gupta Retailers,31-08-2024,15-09-2024,16772,Paid
INV100040,Verma Traders,15-11-2024,15-12-2024,14080,Paid
INV100041,Gupta Retailers,10-05-2024,09-07-2024,44078,Paid
INV100042,Gupta Retailers,02-11-2024,02-12-2024,32034,Paid
INV100043,Agarwal Stores,14-05-2024,28-06-2024,41197,Paid
INV100044,Gupta Retailers,21-01-2024,05-02-2024,26479,Unpaid
INV100045,Gupta Retailers,24-11-2024,09-12-2024,42603,Unpaid
INV100046,Singh Enterprises,15-06-2024,30-07-2024,7187,Paid
INV100047,Verma Traders,30-09-2024,15-10-2024,38315,Unpaid
INV100048,Singh Enterprises,29-03-2024,28-05-2024,41910,Paid
INV100049,Agarwal Stores,11-11-2024,10-01-2025,18302,Paid
INV100050,Singh Enterprises,14-01-2024,14-03-2024,19817,Paid
INV100051,Sharma Distributors,29-08-2024,13-09-2024,43949,Unpaid
INV100052,Verma Traders,21-09-2024,21-10-2024,33063,Paid
INV100053,Gupta Retailers,11-12-2024,10-01-2025,32400,Paid
INV100054,Singh Enterprises,22-02-2024,23-03-2024,11893,Paid
INV100055,Singh Enterprises,05-12-2024,19-01-2025,1758,Partially Paid
INV100056,Gupta Retailers,01-04-2024,31-05-2024,12215,Unpaid
INV100057,Gupta Retailers,20-09-2024,19-11-2024,33235,Paid
INV100058,Agarwal Stores,04-02-2024,20-03-2024,3620,Paid
INV100059,Singh Enterprises,24-07-2024,08-08-2024,7012,Paid
INV100060,Singh Enterprises,21-03-2024,20-04-2024,41864,Paid
INV100061,Sharma Distributors,19-02-2024,05-03-2024,15968,Unpaid
INV100062,Sharma Distributors,25-12-2024,24-01-2025,30291,Partially Paid
INV100063,Singh Enterprises,02-01-2024,17-01-2024,14365,Unpaid
INV100064,Sharma Distributors,23-02-2024,09-03-2024,6307,Partially Paid
INV100065,Singh Enterprises,15-04-2024,30-05-2024,34407,Unpaid
INV100066,Verma Traders,16-09-2024,16-10-2024,42130,Unpaid
INV100067,Agarwal Stores,05-11-2024,20-11-2024,2161,Paid
INV100068,Sharma Distributors,09-07-2024,24-07-2024,34890,Partially Paid
INV100069,Singh Enterprises,05-08-2024,04-10-2024,39015,Paid
INV100070,Sharma Distributors,13-02-2024,14-03-2024,39914,Partially Paid
INV100071,Agarwal Stores,10-06-2024,25-07-2024,24632,Unpaid
INV100072,Verma Traders,20-07-2024,18-09-2024,21827,Paid
INV100073,Gupta Retailers,26-09-2024,11-10-2024,37566,Paid
INV100074,Gupta Retailers,16-12-2024,31-12-2024,24664,Paid
INV100075,Sharma Distributors,30-10-2024,29-12-2024,17582,Paid
INV100076,Singh Enterprises,27-09-2024,12-10-2024,37936,Unpaid
INV100077,Agarwal Stores,02-08-2024,01-09-2024,35025,Paid
INV100078,Verma Traders,08-09-2024,23-10-2024,48351,Paid
INV100079,Verma Traders,08-07-2024,23-07-2024,25194,Paid
INV100080,Verma Traders,22-10-2024,06-11-2024,22308,Unpaid
INV100081,Gupta Retailers,31-07-2024,14-09-2024,31004,Unpaid
INV100082,Agarwal Stores,26-07-2024,10-08-2024,45273,Paid
INV100083,Gupta Retailers,24-08-2024,08-09-2024,14011,Paid
INV100084,Sharma Distributors,03-12-2024,17-01-2025,31084,Partially Paid
INV100085,Verma Traders,22-02-2024,08-03-2024,23816,Unpaid
INV100086,Agarwal Stores,06-10-2024,05-12-2024,49691,Paid
INV100087,Verma Traders,04-08-2024,03-10-2024,15803,Unpaid
INV100088,Gupta Retailers,08-09-2024,23-10-2024,23888,Unpaid
INV100089,Gupta Retailers,06-07-2024,20-08-2024,10305,Paid
INV100090,Gupta Retailers,10-02-2024,11-03-2024,39001,Paid
INV100091,Verma Traders,05-06-2024,04-08-2024,10173,Paid
INV100092,Agarwal Stores,15-01-2024,15-03-2024,28878,Paid
INV100093,Agarwal Stores,27-10-2024,26-12-2024,45800,Paid
INV100094,Sharma Distributors,05-03-2024,20-03-2024,8590,Paid
INV100095,Verma Traders,10-12-2024,24-01-2025,10587,Paid
INV100096,Sharma Distributors,22-11-2024,22-12-2024,14061,Partially Paid
INV100097,Sharma Distributors,09-01-2024,23-02-2024,33750,Paid
INV100098,Sharma Distributors,09-12-2024,23-01-2025,13207,Unpaid
INV100099,Sharma Distributors,08-05-2024,22-06-2024,29206,Paid
INV100100,Gupta Retailers,15-05-2024,14-07-2024,6120,Paid
INV100101,Sharma Distributors,03-03-2024,02-05-2024,792,Paid
INV100102,Agarwal Stores,18-05-2024,02-07-2024,49119,Paid
INV100103,Sharma Distributors,21-03-2024,05-05-2024,25215,Paid
INV100104,Gupta Retailers,11-06-2024,26-07-2024,37260,Paid
INV100105,Singh Enterprises,15-10-2024,14-12-2024,11727,Unpaid
INV100106,Singh Enterprises,17-09-2024,17-10-2024,25906,Paid
INV100107,Singh Enterprises,18-08-2024,02-10-2024,27498,Unpaid
INV100108,Verma Traders,10-02-2024,10-04-2024,41963,Paid
INV100109,Agarwal Stores,28-01-2024,12-02-2024,11205,Unpaid
INV100110,Gupta Retailers,14-05-2024,29-05-2024,28413,Unpaid
INV100111,Singh Enterprises,19-07-2024,03-08-2024,8493,Paid
INV100112,Gupta Retailers,23-11-2024,23-12-2024,33370,Paid
INV100113,Gupta Retailers,24-09-2024,09-10-2024,6134,Unpaid
INV100114,Verma Traders,02-02-2024,03-03-2024,13496,Paid
INV100115,Singh Enterprises,17-02-2024,03-03-2024,26922,Unpaid
INV100116,Sharma Distributors,02-03-2024,17-03-2024,14785,Partially Paid
INV100117,Gupta Retailers,03-08-2024,17-09-2024,29472,Partially Paid
INV100118,Singh Enterprises,19-10-2024,03-12-2024,4252,Unpaid
INV100119,Gupta Retailers,08-04-2024,23-04-2024,3923,Paid
INV100120,Verma Traders,20-06-2024,05-07-2024,49309,Unpaid
INV100121,Verma Traders,25-12-2024,08-02-2025,30740,Unpaid
INV100122,Sharma Distributors,01-08-2024,30-09-2024,40249,Paid
INV100123,Verma Traders,04-02-2024,19-02-2024,5073,Paid
INV100124,Singh Enterprises,14-08-2024,28-09-2024,47097,Partially Paid
INV100125,Verma Traders,10-04-2024,25-05-2024,16757,Partially Paid
INV100126,Sharma Distributors,10-05-2024,09-06-2024,36493,Unpaid
INV100127,Agarwal Stores,13-09-2024,13-10-2024,18979,Paid
INV100128,Gupta Retailers,05-01-2024,05-03-2024,41171,Unpaid
INV100129,Gupta Retailers,05-08-2024,04-09-2024,42552,Paid
INV100130,Singh Enterprises,11-09-2024,10-11-2024,32675,Paid
INV100131,Sharma Distributors,24-12-2024,22-02-2025,11292,Paid
INV100132,Sharma Distributors,09-10-2024,08-12-2024,41566,Paid
INV100133,Sharma Distributors,25-07-2024,09-08-2024,22183,Paid
INV100134,Gupta Retailers,15-01-2024,15-03-2024,11010,Paid
INV100135,Verma Traders,11-12-2024,25-01-2025,8904,Paid
INV100136,Gupta Retailers,11-02-2024,27-03-2024,17240,Paid
INV100137,Gupta Retailers,27-06-2024,11-08-2024,24584,Paid
INV100138,Gupta Retailers,03-03-2024,18-03-2024,39308,Partially Paid
INV100139,Verma Traders,17-12-2024,31-01-2025,21700,Paid
INV100140,Agarwal Stores,18-08-2024,17-09-2024,47380,Paid
INV100141,Singh Enterprises,28-08-2024,27-09-2024,38172,Unpaid
INV100142,Agarwal Stores,21-02-2024,22-03-2024,2420,Paid
INV100143,Agarwal Stores,05-04-2024,04-06-2024,42546,Unpaid
INV100144,Gupta Retailers,09-08-2024,08-10-2024,28566,Paid
INV100145,Agarwal Stores,18-08-2024,02-10-2024,28579,Paid
INV100146,Gupta Retailers,24-08-2024,08-09-2024,7706,Unpaid
INV100147,Gupta Retailers,22-05-2024,21-06-2024,49799,Paid
INV100148,Singh Enterprises,19-06-2024,04-07-2024,19410,Paid
INV100149,Sharma Distributors,29-01-2024,28-02-2024,27289,Unpaid
INV100150,Gupta Retailers,05-02-2024,06-03-2024,18954,Paid
INV100151,Agarwal Stores,13-01-2024,28-01-2024,1407,Paid
INV100152,Singh Enterprises,08-06-2024,08-07-2024,20217,Paid
INV100153,Agarwal Stores,22-11-2024,22-12-2024,48331,Unpaid
INV100154,Sharma Distributors,05-07-2024,03-09-2024,13909,Unpaid
INV100155,Verma Traders,30-08-2024,29-10-2024,47060,Unpaid
INV100156,Sharma Distributors,26-03-2024,10-05-2024,29690,Unpaid
INV100157,Singh Enterprises,10-10-2024,25-10-2024,47398,Paid
INV100158,Sharma Distributors,06-03-2024,21-03-2024,2817,Unpaid
INV100159,Sharma Distributors,18-06-2024,17-08-2024,39127,Paid
INV100160,Singh Enterprises,14-02-2024,29-02-2024,28897,Paid
INV100161,Singh Enterprises,02-03-2024,16-04-2024,16522,Paid
INV100162,Agarwal Stores,13-05-2024,12-07-2024,3845,Partially Paid
INV100163,Gupta Retailers,10-10-2024,24-11-2024,49872,Unpaid
INV100164,Verma Traders,28-01-2024,12-02-2024,38967,Paid
INV100165,Verma Traders,17-04-2024,02-05-2024,28428,Paid
INV100166,Verma Traders,13-02-2024,14-03-2024,15380,Unpaid
INV100167,Sharma Distributors,05-12-2024,19-01-2025,3110,Paid
INV100168,Singh Enterprises,12-10-2024,11-11-2024,49418,Unpaid
INV100169,Singh Enterprises,26-11-2024,25-01-2025,5413,Paid
INV100170,Singh Enterprises,07-05-2024,21-06-2024,4232,Paid
INV100171,Gupta Retailers,13-12-2024,28-12-2024,32218,Paid
INV100172,Singh Enterprises,18-08-2024,02-09-2024,1074,Unpaid
INV100173,Singh Enterprises,08-07-2024,23-07-2024,31341,Paid
INV100174,Sharma Distributors,12-08-2024,27-08-2024,24419,Paid
INV100175,Agarwal Stores,09-10-2024,08-11-2024,3086,Unpaid
INV100176,Verma Traders,30-04-2024,29-06-2024,32452,Paid
INV100177,Sharma Distributors,25-04-2024,10-05-2024,30184,Paid
INV100178,Sharma Distributors,20-08-2024,04-10-2024,18182,Unpaid
INV100179,Sharma Distributors,15-09-2024,14-11-2024,11988,Unpaid
INV100180,Verma Traders,24-12-2024,22-02-2025,8749,Paid
INV100181,Sharma Distributors,16-07-2024,15-08-2024,19171,Paid
INV100182,Agarwal Stores,16-05-2024,15-06-2024,18407,Paid
INV100183,Singh Enterprises,13-11-2024,12-01-2025,7634,Unpaid
INV100184,Agarwal Stores,13-06-2024,12-08-2024,19330,Unpaid
INV100185,Singh Enterprises,12-08-2024,27-08-2024,48693,Paid
INV100186,Singh Enterprises,02-11-2024,02-12-2024,37344,Unpaid
INV100187,Sharma Distributors,21-08-2024,05-10-2024,15317,Unpaid
INV100188,Sharma Distributors,20-06-2024,05-07-2024,2978,Paid
INV100189,Verma Traders,31-05-2024,15-06-2024,2593,Paid
INV100190,Gupta Retailers,10-11-2024,25-11-2024,8524,Unpaid
INV100191,Agarwal Stores,08-06-2024,23-07-2024,43491,Paid
INV100192,Verma Traders,05-04-2024,20-04-2024,10430,Paid
INV100193,Verma Traders,20-08-2024,19-09-2024,40991,Paid
INV100194,Agarwal Stores,28-06-2024,13-07-2024,39014,Paid
INV100195,Agarwal Stores,22-04-2024,21-06-2024,21547,Partially Paid
INV100196,Singh Enterprises,13-11-2024,28-11-2024,27255,Unpaid
INV100197,Gupta Retailers,21-02-2024,21-04-2024,31512,Paid
INV100198,Sharma Distributors,24-09-2024,23-11-2024,9549,Paid
INV100199,Gupta Retailers,21-10-2024,20-12-2024,21864,Unpaid
INV100200,Gupta Retailers,22-04-2024,07-05-2024,40725,Paid
INV100201,Sharma Distributors,10-04-2024,25-05-2024,32579,Unpaid
INV100202,Gupta Retailers,22-04-2024,06-06-2024,30812,Unpaid
INV100203,Verma Traders,21-03-2024,05-05-2024,22050,Unpaid
INV100204,Verma Traders,05-07-2024,04-08-2024,32873,Unpaid
INV100205,Sharma Distributors,22-04-2024,21-06-2024,36163,Paid
INV100206,Sharma Distributors,02-01-2024,02-03-2024,34873,Paid
INV100207,Agarwal Stores,09-05-2024,24-05-2024,2068,Paid
INV100208,Agarwal Stores,07-08-2024,21-09-2024,48677,Partially Paid
INV100209,Gupta Retailers,23-02-2024,08-04-2024,20738,Partially Paid
INV100210,Gupta Retailers,08-12-2024,06-02-2025,44295,Unpaid
INV100211,Sharma Distributors,11-08-2024,26-08-2024,28607,Paid
INV100212,Gupta Retailers,12-08-2024,26-09-2024,39408,Partially Paid
INV100213,Singh Enterprises,05-05-2024,04-06-2024,44402,Paid
INV100214,Verma Traders,09-05-2024,08-07-2024,37451,Paid
INV100215,Gupta Retailers,22-02-2024,08-03-2024,31763,Paid
INV100216,Gupta Retailers,20-06-2024,19-08-2024,7132,Unpaid
INV100217,Agarwal Stores,05-08-2024,04-10-2024,31843,Unpaid
INV100218,Singh Enterprises,08-06-2024,23-06-2024,21729,Unpaid
INV100219,Gupta Retailers,16-07-2024,31-07-2024,11010,Unpaid
INV100220,Verma Traders,03-09-2024,03-10-2024,22190,Unpaid
INV100221,Gupta Retailers,19-11-2024,04-12-2024,29755,Unpaid
INV100222,Sharma Distributors,21-07-2024,04-09-2024,16631,Paid
INV100223,Singh Enterprises,02-07-2024,17-07-2024,12814,Paid
INV100224,Gupta Retailers,02-05-2024,01-06-2024,11864,Paid
INV100225,Singh Enterprises,11-09-2024,10-11-2024,8109,Paid
INV100226,Gupta Retailers,20-10-2024,04-12-2024,9384,Paid
INV100227,Verma Traders,06-10-2024,20-11-2024,36334,Paid
INV100228,Verma Traders,20-11-2024,05-12-2024,17434,Paid
INV100229,Singh Enterprises,07-04-2024,07-05-2024,16258,Paid
INV100230,Agarwal Stores,16-07-2024,14-09-2024,19206,Unpaid
INV100231,Agarwal Stores,27-08-2024,11-10-2024,37992,Paid
INV100232,Sharma Distributors,23-05-2024,07-06-2024,49665,Unpaid
INV100233,Agarwal Stores,06-04-2024,05-06-2024,20282,Unpaid
INV100234,Singh Enterprises,19-07-2024,18-08-2024,2453,Paid
INV100235,Agarwal Stores,03-05-2024,02-07-2024,21772,Unpaid
INV100236,Sharma Distributors,05-07-2024,03-09-2024,1948,Paid
INV100237,Gupta Retailers,21-11-2024,05-01-2025,30796,Paid
INV100238,Agarwal Stores,14-12-2024,28-01-2025,4389,Paid
INV100239,Singh Enterprises,15-09-2024,30-09-2024,37474,Unpaid
INV100240,Singh Enterprises,27-05-2024,11-07-2024,45122,Paid
INV100241,Sharma Distributors,08-09-2024,07-11-2024,22685,Paid
INV100242,Sharma Distributors,11-12-2024,25-01-2025,41782,Unpaid
INV100243,Verma Traders,26-05-2024,25-07-2024,34135,Unpaid
INV100244,Verma Traders,27-05-2024,11-07-2024,49161,Paid
INV100245,Verma Traders,17-12-2024,31-01-2025,30863,Unpaid
INV100246,Gupta Retailers,17-07-2024,16-08-2024,49491,Paid
INV100247,Singh Enterprises,03-11-2024,03-12-2024,17754,Unpaid
INV100248,Verma Traders,07-05-2024,06-06-2024,8908,Paid
INV100249,Singh Enterprises,08-02-2024,09-03-2024,33780,Unpaid
INV100250,Sharma Distributors,03-12-2024,17-01-2025,43423,Unpaid
INV100251,Gupta Retailers,25-12-2024,23-02-2025,15242,Unpaid
INV100252,Sharma Distributors,08-05-2024,07-06-2024,26723,Paid
INV100253,Singh Enterprises,23-09-2024,08-10-2024,42070,Unpaid
INV100254,Verma Traders,30-05-2024,29-06-2024,30270,Paid
INV100255,Sharma Distributors,24-10-2024,23-11-2024,10370,Paid
INV100256,Agarwal Stores,08-04-2024,23-05-2024,5337,Paid
INV100257,Gupta Retailers,19-09-2024,18-11-2024,34167,Unpaid
INV100258,Singh Enterprises,08-09-2024,08-10-2024,28063,Paid
INV100259,Verma Traders,23-05-2024,07-06-2024,28092,Paid
INV100260,Sharma Distributors,11-12-2024,26-12-2024,40468,Paid
INV100261,Gupta Retailers,21-04-2024,05-06-2024,42671,Paid
INV100262,Verma Traders,29-02-2024,30-03-2024,30813,Unpaid
INV100263,Sharma Distributors,02-01-2024,16-02-2024,8633,Paid
INV100264,Singh Enterprises,30-10-2024,14-11-2024,28705,Unpaid
INV100265,Agarwal Stores,10-09-2024,09-11-2024,1294,Unpaid
INV100266,Agarwal Stores,19-05-2024,18-07-2024,2575,Paid
INV100267,Singh Enterprises,06-02-2024,07-03-2024,23457,Unpaid
INV100268,Gupta Retailers,08-06-2024,23-06-2024,16990,Paid
INV100269,Singh Enterprises,09-01-2024,23-02-2024,48661,Unpaid
INV100270,Sharma Distributors,20-08-2024,19-10-2024,30608,Paid
INV100271,Gupta Retailers,08-04-2024,23-05-2024,21587,Unpaid
INV100272,Agarwal Stores,26-05-2024,25-06-2024,31346,Paid
INV100273,Sharma Distributors,30-10-2024,14-12-2024,45482,Paid
INV100274,Verma Traders,26-07-2024,25-08-2024,28716,Partially Paid
INV100275,Verma Traders,10-05-2024,24-06-2024,33903,Paid
INV100276,Verma Traders,31-05-2024,30-06-2024,23938,Paid
INV100277,Agarwal Stores,23-02-2024,24-03-2024,37902,Unpaid
INV100278,Singh Enterprises,29-04-2024,14-05-2024,9405,Paid
INV100279,Gupta Retailers,09-06-2024,24-06-2024,622,Unpaid
INV100280,Agarwal Stores,25-04-2024,24-06-2024,29743,Paid
INV100281,Sharma Distributors,15-03-2024,30-03-2024,18238,Paid
INV100282,Sharma Distributors,22-04-2024,07-05-2024,41531,Paid
INV100283,Verma Traders,13-04-2024,12-06-2024,43400,Unpaid
INV100284,Gupta Retailers,05-12-2024,03-02-2025,8984,Paid
INV100285,Verma Traders,10-09-2024,09-11-2024,29067,Paid
INV100286,Sharma Distributors,14-08-2024,13-09-2024,17505,Unpaid
INV100287,Sharma Distributors,21-04-2024,21-05-2024,15848,Partially Paid
INV100288,Singh Enterprises,08-04-2024,23-04-2024,16090,Paid
INV100289,Singh Enterprises,01-06-2024,16-07-2024,37678,Paid
INV100290,Singh Enterprises,14-12-2024,29-12-2024,31746,Unpaid
INV100291,Verma Traders,03-12-2024,01-02-2025,43019,Paid
INV100292,Gupta Retailers,12-07-2024,11-08-2024,1342,Unpaid
INV100293,Singh Enterprises,05-11-2024,20-12-2024,24004,Paid
INV100294,Agarwal Stores,11-06-2024,11-07-2024,48379,Paid
INV100295,Singh Enterprises,26-07-2024,24-09-2024,49245,Unpaid
INV100296,Verma Traders,17-06-2024,01-08-2024,22873,Unpaid
INV100297,Gupta Retailers,09-06-2024,08-08-2024,11933,Unpaid
INV100298,Singh Enterprises,08-03-2024,07-04-2024,30310,Unpaid
INV100299,Gupta Retailers,15-10-2024,30-10-2024,21998,Paid
INV100300,Agarwal Stores,03-10-2024,18-10-2024,41458,Paid
INV100301,Sharma Distributors,30-10-2024,29-11-2024,43879,Paid
INV100302,Gupta Retailers,14-05-2024,28-06-2024,2699,Unpaid
INV100303,Singh Enterprises,13-07-2024,11-09-2024,32526,Partially Paid
INV100304,Verma Traders,07-05-2024,21-06-2024,26584,Unpaid
INV100305,Verma Traders,02-02-2024,02-04-2024,11378,Paid
INV100306,Verma Traders,24-06-2024,24-07-2024,25440,Unpaid
INV100307,Verma Traders,22-01-2024,21-02-2024,47561,Unpaid
INV100308,Gupta Retailers,25-08-2024,09-09-2024,44067,Unpaid
INV100309,Verma Traders,06-06-2024,06-07-2024,16601,Paid
INV100310,Sharma Distributors,07-02-2024,07-04-2024,10633,Unpaid
INV100311,Agarwal Stores,17-08-2024,01-09-2024,44443,Paid
INV100312,Gupta Retailers,30-12-2024,29-01-2025,42787,Paid
INV100313,Gupta Retailers,20-02-2024,20-04-2024,39588,Paid
INV100314,Verma Traders,20-09-2024,05-10-2024,12048,Partially Paid
INV100315,Verma Traders,09-10-2024,24-10-2024,37882,Unpaid
INV100316,Gupta Retailers,27-01-2024,11-02-2024,10006,Partially Paid
INV100317,Verma Traders,13-08-2024,28-08-2024,22683,Paid
INV100318,Verma Traders,03-10-2024,17-11-2024,8374,Paid
INV100319,Verma Traders,12-10-2024,26-11-2024,34496,Paid
INV100320,Verma Traders,06-04-2024,06-05-2024,38852,Paid
INV100321,Verma Traders,10-10-2024,24-11-2024,15386,Paid
INV100322,Singh Enterprises,12-11-2024,27-11-2024,28015,Paid
INV100323,Singh Enterprises,30-10-2024,14-12-2024,49241,Paid
INV100324,Singh Enterprises,26-05-2024,25-07-2024,20317,Unpaid
INV100325,Gupta Retailers,04-01-2024,19-01-2024,47754,Unpaid
INV100326,Agarwal Stores,04-02-2024,19-02-2024,6503,Paid
INV100327,Gupta Retailers,10-07-2024,09-08-2024,14868,Paid
INV100328,Singh Enterprises,18-02-2024,04-03-2024,48716,Unpaid
INV100329,Gupta Retailers,17-01-2024,02-03-2024,49217,Paid
INV100330,Agarwal Stores,20-06-2024,05-07-2024,10198,Paid
INV100331,Verma Traders,07-08-2024,06-10-2024,44049,Paid
INV100332,Sharma Distributors,06-06-2024,21-06-2024,21756,Partially Paid
INV100333,Singh Enterprises,15-02-2024,16-03-2024,20817,Paid
INV100334,Singh Enterprises,06-01-2024,20-02-2024,28273,Paid
INV100335,Agarwal Stores,08-04-2024,08-05-2024,30266,Paid
INV100336,Verma Traders,20-08-2024,19-09-2024,23089,Paid
INV100337,Verma Traders,06-02-2024,07-03-2024,26811,Partially Paid
INV100338,Sharma Distributors,06-10-2024,05-12-2024,3898,Paid
INV100339,Verma Traders,14-12-2024,28-01-2025,44253,Paid
INV100340,Agarwal Stores,28-10-2024,12-12-2024,5326,Partially Paid
INV100341,Verma Traders,29-06-2024,14-07-2024,9868,Paid
INV100342,Agarwal Stores,04-04-2024,19-04-2024,5794,Unpaid
INV100343,Singh Enterprises,08-04-2024,23-05-2024,5926,Paid
INV100344,Singh Enterprises,06-07-2024,05-08-2024,33039,Paid
INV100345,Singh Enterprises,25-04-2024,09-06-2024,29525,Paid
INV100346,Gupta Retailers,09-07-2024,24-07-2024,10087,Partially Paid
INV100347,Singh Enterprises,09-09-2024,08-11-2024,5821,Unpaid
INV100348,Agarwal Stores,09-06-2024,24-06-2024,30103,Paid
INV100349,Sharma Distributors,12-09-2024,12-10-2024,49328,Partially Paid
INV100350,Verma Traders,18-11-2024,02-01-2025,30553,Paid
INV100351,Singh Enterprises,07-05-2024,22-05-2024,16694,Unpaid
INV100352,Gupta Retailers,18-01-2024,03-03-2024,8596,Partially Paid
INV100353,Gupta Retailers,07-10-2024,06-11-2024,48817,Unpaid
INV100354,Agarwal Stores,10-08-2024,25-08-2024,3213,Paid
INV100355,Sharma Distributors,23-02-2024,24-03-2024,46515,Unpaid
INV100356,Singh Enterprises,27-02-2024,27-04-2024,37867,Partially Paid
INV100357,Singh Enterprises,18-11-2024,17-01-2025,22748,Partially Paid
INV100358,Gupta Retailers,25-12-2024,24-01-2025,29098,Partially Paid
INV100359,Agarwal Stores,22-06-2024,21-08-2024,41217,Paid
INV100360,Gupta Retailers,06-10-2024,21-10-2024,49252,Unpaid
INV100361,Gupta Retailers,23-04-2024,07-06-2024,23845,Unpaid
INV100362,Sharma Distributors,14-10-2024,29-10-2024,39486,Paid
INV100363,Agarwal Stores,07-12-2024,22-12-2024,39143,Unpaid
INV100364,Sharma Distributors,30-05-2024,14-06-2024,38630,Unpaid
INV100365,Agarwal Stores,06-05-2024,20-06-2024,42154,Paid
INV100366,Singh Enterprises,03-06-2024,18-07-2024,43695,Partially Paid
INV100367,Verma Traders,29-09-2024,29-10-2024,37537,Paid
INV100368,Verma Traders,13-04-2024,13-05-2024,5554,Paid
INV100369,Agarwal Stores,25-10-2024,24-12-2024,11825,Paid
INV100370,Verma Traders,02-09-2024,02-10-2024,39143,Partially Paid
INV100371,Gupta Retailers,24-06-2024,24-07-2024,26243,Paid
INV100372,Singh Enterprises,08-02-2024,24-03-2024,43887,Paid
INV100373,Singh Enterprises,18-06-2024,17-08-2024,734,Paid
INV100374,Verma Traders,03-09-2024,02-11-2024,44980,Unpaid
INV100375,Agarwal Stores,26-01-2024,11-03-2024,17699,Unpaid
INV100376,Gupta Retailers,20-12-2024,04-01-2025,48049,Paid
INV100377,Agarwal Stores,01-11-2024,16-11-2024,40825,Unpaid
INV100378,Verma Traders,13-01-2024,12-02-2024,10690,Partially Paid
INV100379,Singh Enterprises,11-11-2024,10-01-2025,660,Paid
INV100380,Singh Enterprises,08-11-2024,07-01-2025,19130,Paid
INV100381,Agarwal Stores,05-02-2024,21-03-2024,3899,Paid
INV100382,Sharma Distributors,21-06-2024,21-07-2024,31848,Partially Paid
INV100383,Agarwal Stores,20-01-2024,05-03-2024,17821,Paid
INV100384,Sharma Distributors,16-11-2024,16-12-2024,40558,Paid
INV100385,Agarwal Stores,20-09-2024,04-11-2024,38929,Partially Paid
INV100386,Sharma Distributors,21-05-2024,05-07-2024,46074,Unpaid
INV100387,Sharma Distributors,22-05-2024,06-07-2024,11675,Partially Paid
INV100388,Sharma Distributors,01-04-2024,16-04-2024,47920,Partially Paid
INV100389,Sharma Distributors,19-12-2024,18-01-2025,10881,Unpaid
INV100390,Gupta Retailers,17-11-2024,01-01-2025,46768,Paid
